id,gender,field,major,study_year,gpa,ai_knowledge,utility_grade,teaching_benefits,learning_benefits,evaluation_benefits,process_concerns,q2_ai_sources,q2_number_1_internet,q2_number_2_books_papers,q2_number_3_social_media,q2_number_4_discussions,q2_number_5_not_informed,q3_number_1_ai_dehumanization,q3_number_2_job_replacement,q3_number_3_problem_solving,q3_number_4_ai_rulling_society
1,1,Other,2,2,9.2,8,9,Neutral,Strongly Disagree,Disagree,Neutral,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,1,2,5,1
2,2,Other,2,2,7.7,7,6,Disagree,Disagree,Strongly Disagree,Disagree,Internet;Social media,1,0,1,0,0,2,3,4,1
3,2,Other,2,2,7.2,5,6,Neutral,Neutral,Neutral,Agree,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,2,1,4,1
4,1,Other,2,2,8.2,5,9,Strongly Disagree,Disagree,Disagree,Neutral,Internet;Social media,1,0,1,0,0,4,4,5,3
5,1,Other,2,2,7.7,4,8,Neutral,Disagree,Neutral,Agree,Internet,1,0,0,0,0,1,2,5,1
6,1,Other,2,2,7.7,5,6,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Internet;Discussions with family/friends,1,0,0,1,0,3,4,4,3
7,1,Other,2,2,7.2,7,10,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Books/Scientific papers (physical/online format);Social media;Discussions with family/friends,0,1,1,1,0,1,2,4,1
8,2,Other,2,2,6.7,6,8,Neutral,Neutral,Neutral,Neutral,Internet,1,0,0,0,0,1,1,5,1
9,1,Other,2,2,7.7,6,8,Neutral,Disagree,Disagree,Strongly Disagree,Internet;Books/Scientific papers (physical/online format);Discussions with family/friends,1,1,0,1,0,2,4,5,2
10,1,Other,3,2,8.2,4,7,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Internet,1,0,0,0,0,4,4,4,3
11,1,Other,3,2,7.7,4,10,Disagree,Disagree,Neutral,Neutral,Internet;Discussions with family/friends,1,0,0,1,0,3,3,5,2
12,2,Other,2,2,7.7,6,4,Disagree,Disagree,Neutral,Disagree,Internet,1,0,0,0,0,4,4,2,2
13,1,Other,2,2,9.7,9,10,Neutral,Strongly Disagree,Neutral,Neutral,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,2,4,5,1
14,2,Other,3,1,9.2,9,9,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Books/Scientific papers (physical/online format),0,1,0,0,0,2,4,5,4
15,1,Other,2,2,9.2,7,10,Neutral,Strongly Disagree,Neutral,Agree,Internet,1,0,0,0,0,2,4,4,1
16,1,Other,3,2,8.2,6,4,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,2,2,4,2
17,2,Other,2,2,6.2,1,3,Strongly Disagree,Disagree,Strongly Disagree,Agree,I don't inform myself about AI,0,0,0,0,1,1,4,5,1
18,2,Other,3,1,9.2,8,8,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Internet;Social media,1,0,1,0,0,5,5,5,5
19,1,Other,3,2,7.7,7,6,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Internet;Social media;Discussions with family/friends,1,0,1,1,0,4,4,4,1
20,1,Other,1,1,8.7,6,6,Strongly Disagree,Neutral,Neutral,Disagree,Social media,0,0,1,0,0,1,2,5,2
21,1,Other,3,2,7.2,6,8,Strongly Disagree,Disagree,Neutral,Neutral,Internet;Social media,1,0,1,0,0,2,2,4,1
22,1,Other,1,1,8.7,7,4,Disagree,Disagree,Neutral,Strongly Disagree,Internet;Social media;Discussions with family/friends,1,0,1,1,0,3,4,3,2
23,1,Other,1,2,7.7,7,7,Neutral,Strongly Disagree,Neutral,Disagree,Internet;Books/Scientific papers (physical/online format);Social media;Discussions with family/friends,1,1,1,1,0,4,5,4,4
24,1,Other,1,2,9.2,5,7,Neutral,Neutral,Neutral,Disagree,Internet,1,0,0,0,0,2,2,5,3
25,1,Other,3,1,7.2,4,6,Strongly Disagree,Disagree,Disagree,Neutral,Internet;Social media;Discussions with family/friends,1,0,1,1,0,3,2,5,1
26,1,Other,1,2,8.7,5,8,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Books/Scientific papers (physical/online format),0,1,0,0,0,2,1,5,1
27,1,Other,3,1,8.2,7,9,Neutral,Disagree,Strongly Disagree,Neutral,Internet;Books/Scientific papers (physical/online format);Discussions with family/friends,1,1,0,1,0,4,3,4,1
28,1,Other,1,2,8.7,3,7,Strongly Disagree,Disagree,Disagree,Neutral,Internet,1,0,0,0,0,1,4,4,3
29,1,Other,3,1,7.7,6,10,Neutral,Disagree,Neutral,Neutral,Internet;Social media;Discussions with family/friends,1,0,1,1,0,3,1,5,2
30,1,Other,1,1,7.7,5,4,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Internet,1,0,0,0,0,3,3,4,3
31,1,Other,2,2,7.7,5,7,Neutral,Strongly Disagree,Disagree,Neutral,Internet,1,0,0,0,0,4,4,5,3
32,1,Other,3,2,7.7,6,6,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Internet,1,0,0,0,0,2,4,4,3
33,1,Other,1,1,7.7,5,5,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Books/Scientific papers (physical/online format),0,1,0,0,0,5,5,5,5
34,1,Other,3,2,7.2,7,4,Neutral,Disagree,Neutral,Strongly Disagree,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,4,4,5,1
35,1,Other,2,2,6.2,6,7,Neutral,Disagree,Neutral,Disagree,Internet;Social media,1,0,1,0,0,4,4,4,2
36,1,Other,2,2,7.2,8,9,Neutral,Neutral,Disagree,Disagree,Internet,1,0,0,0,0,3,2,4,3
37,2,Other,2,2,6.7,10,9,Strongly Disagree,Disagree,Neutral,Disagree,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,4,5,5,1
38,1,Other,2,2,7.7,8,10,Disagree,Disagree,Disagree,Disagree,Internet;Books/Scientific papers (physical/online format);Social media;Discussions with family/friends,1,1,1,1,0,1,1,5,1
39,1,Other,2,2,7.7,7,7,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Books/Scientific papers (physical/online format),0,1,0,0,0,2,3,4,3
40,2,Other,2,2,7.7,7,8,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Internet;Social media;Discussions with family/friends,1,0,1,1,0,3,2,5,3
41,2,Other,2,2,6.2,7,7,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Social media,0,0,1,0,0,4,5,1,3
42,1,Other,2,2,8.2,5,8,Strongly Disagree,Disagree,Disagree,Agree,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,3,4,4,3
43,1,Other,2,2,8.7,8,9,Strongly Disagree,Disagree,Disagree,Neutral,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,2,3,5,3
44,1,Other,3,2,7.7,5,9,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Internet,1,0,0,0,0,2,3,5,1
45,2,Other,3,2,7.7,6,10,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Internet;Social media;Discussions with family/friends,1,0,1,1,0,2,2,5,2
46,1,Other,3,2,6.7,3,10,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,3,2,1,3
47,2,Other,2,2,7.2,8,3,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Internet;Social media,1,0,1,0,0,5,5,2,5
48,2,Other,3,2,7.7,7,10,Neutral,Strongly Disagree,Neutral,Agree,Internet,1,0,0,0,0,1,2,5,1
49,1,Other,3,2,7.7,9,10,Disagree,Strongly Disagree,Neutral,Agree,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,1,2,5,3
50,1,Other,2,2,7.2,7,8,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Internet;Social media,1,0,1,0,0,3,3,3,3
51,1,Other,2,2,7.7,3,8,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Internet;Social media,1,0,1,0,0,3,4,4,3
52,1,Other,2,2,6.2,4,5,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Internet;Books/Scientific papers (physical/online format);Social media;Discussions with family/friends,1,1,1,1,0,3,2,5,1
53,1,Other,2,2,9.2,7,6,Disagree,Disagree,Disagree,Disagree,Internet;Social media,1,0,1,0,0,3,4,4,4
54,1,Other,2,2,7.7,5,9,Disagree,Disagree,Disagree,Agree,Internet,1,0,0,0,0,2,2,5,4
55,2,Other,2,2,7.2,5,7,Strongly Disagree,Neutral,Disagree,Disagree,Internet,1,0,0,0,0,1,4,4,3
56,1,Other,1,2,7.2,6,10,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,2,3,5,1
57,1,Other,1,1,9.2,5,8,Neutral,Disagree,Neutral,Strongly Disagree,Internet,1,0,0,0,0,2,4,4,2
58,1,Other,2,2,7.7,8,8,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Internet;Books/Scientific papers (physical/online format);Social media;Discussions with family/friends,1,1,1,1,0,1,2,5,3
59,1,Other,1,1,9.7,4,10,Strongly Disagree,Disagree,Disagree,Agree,I don't inform myself about AI,0,0,0,0,1,2,2,5,2
60,2,Other,1,1,7.7,5,10,Disagree,Disagree,Neutral,Disagree,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,1,2,5,1
61,2,Other,1,1,9.7,6,10,Disagree,Disagree,Neutral,Disagree,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,1,2,5,1
62,2,Other,2,2,8.2,4,10,Neutral,Strongly Disagree,Neutral,Neutral,Internet;Social media,1,0,1,0,0,4,4,5,4
63,1,Other,1,1,9.2,8,9,Strongly Disagree,Disagree,Neutral,Neutral,Internet;Social media;Discussions with family/friends,1,0,1,1,0,3,3,4,2
64,1,Other,1,1,7.7,6,6,Strongly Disagree,Disagree,Disagree,Neutral,Internet,1,0,0,0,0,3,4,5,4
65,2,Other,1,1,9.2,7,8,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,2,5,4,4
66,1,Other,1,1,7.7,5,3,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,1,5,3,3
67,2,Other,1,1,7.7,8,6,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Internet;Books/Scientific papers (physical/online format);Social media;Discussions with family/friends,1,1,1,1,0,5,5,5,5
68,1,Other,1,1,7.2,1,10,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Internet,1,0,0,0,0,3,4,4,3
69,1,Other,1,1,8.7,6,9,Neutral,Neutral,Strongly Disagree,Disagree,Internet,1,0,0,0,0,2,3,4,2
70,1,Other,1,1,7.7,4,6,Strongly Disagree,Disagree,Neutral,Neutral,Internet;Social media,1,0,1,0,0,4,3,4,4
71,1,Other,2,2,6.7,9,10,Neutral,Disagree,Disagree,Strongly Disagree,Internet;Social media,1,0,1,0,0,1,3,4,1
72,2,Other,3,2,8.7,10,10,Neutral,Neutral,Strongly Disagree,Neutral,Internet;Social media,1,0,1,0,0,1,5,5,5
73,2,Other,2,2,9.2,8,10,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Internet,1,0,0,0,0,2,2,2,2
74,1,Other,2,2,8.7,6,5,Neutral,Disagree,Disagree,Strongly Disagree,Internet,1,0,0,0,0,3,4,4,2
75,1,Other,2,2,8.2,5,5,Disagree,Disagree,Neutral,Strongly Disagree,I don't inform myself about AI,0,0,0,0,1,3,1,2,1
76,2,Other,3,2,5.7,4,7,Disagree,Strongly Disagree,Disagree,Neutral,Internet,1,0,0,0,0,2,4,5,3
77,2,Other,1,1,8.7,7,10,Neutral,Strongly Disagree,Neutral,Disagree,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,2,5,5,2
78,1,Other,1,1,8.7,4,8,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Internet,1,0,0,0,0,2,4,4,3
79,2,Other,1,1,7.2,4,7,Strongly Disagree,Disagree,Neutral,Strongly Disagree,I don't inform myself about AI,0,0,0,0,1,3,3,2,3
80,1,Other,1,1,7.7,8,8,Neutral,Strongly Disagree,Neutral,Neutral,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,1,2,5,1
81,1,Other,3,1,7.2,8,8,Neutral,Disagree,Neutral,Neutral,Internet;Books/Scientific papers (physical/online format);Social media,1,1,1,0,0,2,4,5,2
82,2,Other,2,1,5.7,3,3,Disagree,Disagree,Neutral,Disagree,Internet,1,0,0,0,0,4,4,2,3
83,1,Other,3,1,7.7,7,8,Neutral,Strongly Disagree,Disagree,Disagree,Internet;Social media,1,0,1,0,0,3,4,4,3
84,2,Other,2,1,6.7,5,7,Disagree,Neutral,Disagree,Neutral,Social media,0,0,1,0,0,4,4,4,4
85,1,Other,1,2,8.2,6,6,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,3,3,4,3
86,2,Other,1,2,5.7,1,6,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,I don't inform myself about AI,0,0,0,0,1,5,5,2,3
87,2,Other,1,1,7.2,8,7,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Internet,1,0,0,0,0,1,1,5,1
88,2,Other,3,1,8.7,6,7,Neutral,Strongly Disagree,Neutral,Disagree,Social media,0,0,1,0,0,2,2,4,3
89,2,Other,1,1,6.2,9,10,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Books/Scientific papers (physical/online format),0,1,0,0,0,1,1,5,1
90,2,Other,1,1,8.7,2,2,Disagree,Neutral,Strongly Disagree,Disagree,I don't inform myself about AI,0,0,0,0,1,2,4,4,4
91,2,Other,3,1,5.2,2,2,Neutral,Neutral,Neutral,Agree,Discussions with family/friends,0,0,0,1,0,2,4,2,4
